UDS 속성명,Naver 필드명,API 영역,사용 문서 수,UDS 필요도,설명
인 최대 구매 수량 (integer,maxPurchaseQuantityPerId,상품 일괄 수정,1,✅ 핵심 UDS,maxPurchaseQuantityPerId 1인 최대 구매 수량 (integer<int32>) Possible values: <= 99999999
일반 정산 금액 (number) NULLABLE 일반 정산,normalSettleAmount,정산 내역,1,✅ 핵심 UDS,normalSettleAmount 일반 정산 금액 (number) NULLABLE 일반 정산 금액
일할 계산된 금액 대신 솔루션 개발사가 직접,amount,솔루션 사용 API,1,✅ 핵심 UDS,amount number 일할 계산된 금액 대신 솔루션 개발사가 직접 입력한 금액을 환불하는 경우 환불 금액. refundType에 PARTIAL을 설정한 경우에만 설정합니다. 환불 금액은 다음 조건을 만족해야 합니다. 다음 회차를 결제한 경우: 다음 회차 결제 금액 <= amount <= 전체 결제 금액 다음 회차를 결제하지 않은 경우: 1 <= amount <= 전체 결제 금액
자체 제작 상품 여부 (boolean),itselfProductionProductYn,그룹상품,1,✅ 핵심 UDS,itselfProductionProductYn 자체 제작 상품 여부 (boolean)
자체 제작 상품 여부 (boolean) 미,itselfProductionProductYn,그룹상품,3,✅ 핵심 UDS,itselfProductionProductYn 자체 제작 상품 여부 (boolean) 미입력 시 false로 저장됩니다.
잘못,invalidInputs,"부가세 내역, 정산 내역",5,✅ 핵심 UDS,invalidInputs InvalidInput.pay-settle (object)[]잘못 입력된 필드 값Array [namestringrequired필드명messagestringrequired메시지typestringrequired오류 타입]
잘못된,"errorMessage, invalidInputs","그룹상품, 브랜드, 사이즈, 상품, 상품 검수, 상품 공지사항 적용, 상품 목록, 상품 배송 정보, 상품 속성, 상품 원산지 정보, 상품 이미지, 상품 일괄 수정, 상품정보제공고시, 옵션, 제조사, 카탈로그, 카테고리, 태그, 판매 옵션, 패션모델",59,✅ 핵심 UDS,invalidInputs 잘못된 입력값 목록 (object)[]Array [namestringtypestringmessagestring]
재고 수량 (integer,stockQuantity,"상품, 상품 목록",10,✅ 핵심 UDS,stockQuantity 재고 수량 (integer<int32>) 상품 등록 시 필수. 상품 수정 시 재고 수량을 입력하지 않으면 스마트스토어 데이터베이스에 저장된 현재 재고 값이 변하지 않습니다. 수정 시 재고 수량이 0으로 입력되면 StatusType으로 전달된 항목은 무시되며 상품 상태는 OUTOFSTOCK(품절)으로 저장됩니다. Possible values: <= 99999999
재구매 금액,repurchaseAmount,고객 데이터,1,✅ 핵심 UDS,repurchaseAmount integer<int64> REQUIRED 재구매 금액
재구매 금액 비율,repurchaseAmountRatio,고객 데이터,1,✅ 핵심 UDS,repurchaseAmountRatio number<double> REQUIRED 재구매 금액 비율
재배송 송장 번호,reDeliveryTrackingNumber,교환,1,✅ 핵심 UDS,reDeliveryTrackingNumber string 재배송 송장 번호 Example: 1111111115
전시 상태 코드(스마트스토어 채널 전용) (string) R,channelProductDisplayStatusType,상품,7,✅ 핵심 UDS,"channelProductDisplayStatusType 전시 상태 코드(스마트스토어 채널 전용) (string) REQUIRED ON, SUSPENSION만 입력 가능합니다. WAIT(전시 대기), ON(전시 중), SUSPENSION(전시 중지) Possible values: [WAIT, ON, SUSPENSION]"
전시 상태 코드(윈도 채널 읽기 전용) (string) WA,channelProductDisplayStatusType,상품,7,✅ 핵심 UDS,"channelProductDisplayStatusType 전시 상태 코드(윈도 채널 읽기 전용) (string) WAIT(전시 대기), ON(전시 중), SUSPENSION(전시 중지) Possible values: [WAIT, ON, SUSPENSION]"
전시 시작 일시 (string,displayStartDate,상품 공지사항,5,✅ 핵심 UDS,displayStartDate 전시 시작 일시 (string<date-time>) 공지사항 등록/수정 시: 입력한 시각의 00분으로 설정됩니다. 미입력 시 현재 시각의 00분으로 저장됩니다.(예: 2022-09-02 16:00:00) 공지사항 조회 시: KST 기준으로 출력됩니다. Example: 2023-04-18T14:25:05.143+09:00
전시 종료 일시 (string,displayEndDate,상품 공지사항,5,✅ 핵심 UDS,displayEndDate 전시 종료 일시 (string<date-time>) 공지사항 등록/수정 시: 입력한 시각의 59분으로 설정됩니다. 공지사항 조회 시: KST 기준으로 출력됩니다. Example: 2023-04-18T14:25:05.144+09:00
전체 개수 (integer,totalElements,"상품 목록, 상품 배송 정보, 카탈로그",4,✅ 핵심 UDS,totalElements 전체 개수 (integer<int64>)
전체 고객 수,customerCount,고객 데이터,2,✅ 핵심 UDS,customerCount integer<int64> 전체 고객 수
전체 공지사항 여부 (boolean) 전체 공지사항으로 등록,wholeNotice,상품 공지사항,5,✅ 핵심 UDS,"wholeNotice 전체 공지사항 여부 (boolean) 전체 공지사항으로 등록 가능합니다. 단, 기존에 설정되어 있던 전체 공지사항은 해제됩니다(1건만 등록 가능). 미입력 시 false로 저장됩니다."
전체 등급 변동,incrementCount,고객 데이터,2,✅ 핵심 UDS,incrementCount integer<int64> 전체 등급 변동
전체 등급 수,totalCount,고객 데이터,2,✅ 핵심 UDS,totalCount integer<int64> 전체 등급 수
전체 연결상품 수 Possible values,totalElements,SKU,1,✅ 핵심 UDS,totalElements integer<int64> REQUIRED 전체 연결상품 수 Possible values: >= 0
전체 주문 건수,purchaseCount,고객 데이터,2,✅ 핵심 UDS,purchaseCount integer<int64> 전체 주문 건수
전체 카테고리 ID (string),wholeCategoryId,상품 목록,1,✅ 핵심 UDS,wholeCategoryId 전체 카테고리 ID (string)
전체 카테고리명 (string),wholeCategoryName,"Other, 상품 목록, 카탈로그",4,✅ 핵심 UDS,wholeCategoryName 전체 카테고리명 (string)
전체 페이지 수,totalPage,판매자 주소록,1,✅ 핵심 UDS,totalPage integer<int32> 전체 페이지 수
전체 페이지 수 (integer,totalPages,"상품 목록, 상품 배송 정보, 카탈로그",4,✅ 핵심 UDS,totalPages 전체 페이지 수 (integer<int32>)
전체 페이지 수 Possible values,totalPages,SKU,2,✅ 핵심 UDS,totalPages integer<int32> REQUIRED 전체 페이지 수 Possible values: >= 0
전체 환불 건수,refundCount,고객 데이터,2,✅ 핵심 UDS,refundCount integer<int64> 전체 환불 건수
정기구독 결제 금액,subscriptionPayAmount,판매 분석,1,✅ 핵심 UDS,subscriptionPayAmount number<double> 정기구독 결제 금액
정기휴무 요일 목록 (string),regularHolidays,상품 배송 정보,5,✅ 핵심 UDS,"regularHolidays 정기휴무 요일 목록 (string)[] SUNDAY(일요일), MONDAY(월요일), TUESDAY(화요일), WEDNESDAY(수요일), THURSDAY(목요일), FRIDAY(금요일), SATURDAY(토요일) Possible values: [SUNDAY, MONDAY, TUESDAY, WEDNESDAY, THURSDAY, FRIDAY, SATURDAY]"
정렬 기준 (string) NO(상품번호순),orderType,상품 목록,1,✅ 핵심 UDS,"orderType 정렬 기준 (string) NO(상품번호순), REG_DATE(등록일순), MOD_DATE(수정일순), NAME(상품명순), SELLER_CODE(판매자 상품코드순), LOW_PRICE(판매가 낮은순), HIGH_PRICE(판매가 높은순), POPULARITY(인기도순), ACCUMULATE_SALE(누적판매건수순), LOW_DISCOUNT_PRICE(할인가 낮은순), SALE_START(판매시작일순), SALE_END(판매종료일순) Possible values: [NO, NAME, SELLER_CODE, LOW_PRICE, HIGH_PRICE, REG_DATE, MOD_DATE, SALE_START, SALE_END, POPULARITY, ACCUMULATE_SALE, LOW_DISCOUNT_PRICE, TOTAL_REVIEW_COUNT, AVERAGE_REVIEW_SCORE]"
정렬 적용 필드 정보 (object),fields,"상품 목록, 상품 배송 정보, 카탈로그",4,✅ 핵심 UDS,fields 정렬 적용 필드 정보 (object)[]
정렬 정보 (object) 정렬 정보 sorted 데이터 정,sort,"상품 목록, 상품 배송 정보, 카탈로그",4,✅ 핵심 UDS,sort 정렬 정보 (object) 정렬 정보 sorted 데이터 정렬 적용 여부 (boolean) fields 정렬 적용 필드 정보 (object)[]
정보 (object),"afterServiceInfo, seoInfo",그룹상품,4,✅ 핵심 UDS,seoInfo SEO(Search engine optimization) 정보 (object)
정보 (object) REQUIRED,afterServiceInfo,그룹상품,3,✅ 핵심 UDS,afterServiceInfo A/S 정보 (object) REQUIRED
정보가 등록된 최초 일시 KST(UTC,registrationYmdt,SKU,1,✅ 핵심 UDS,registrationYmdt string<date-time> REQUIRED SKU 정보가 등록된 최초 일시 KST(UTC+09:00)로 응답 Example: 2024-01-01T11:20:50.001+09:00
정보가 변경된 최종 일시 KST(UTC,modificationYmdt,SKU,1,✅ 핵심 UDS,modificationYmdt string<date-time> REQUIRED SKU 정보가 변경된 최종 일시 KST(UTC+09:00)로 응답 Example: 2024-01-01T11:20:50.001+09:00
정산 구분 NORMAL,settleType,정산 내역,2,✅ 핵심 UDS,"settleType string 정산 구분 NORMAL_SETTLE_ORIGINAL(일반정산) NORMAL_SETTLE_AFTER_CANCEL(정산 후 취소) NORMAL_SETTLE_BEFORE_CANCEL(정산 전 취소) QUICK_SETTLE_ORIGINAL(빠른정산) QUICK_SETTLE_CANCEL(빠른정산 회수) QUANTITY_CANCEL_DEDUCTION(수량 취소 정산(공제)) QUANTITY_CANCEL_RESTORE(수량 취소 정산(환급)) PURCHASE_CONFIRM(구매 확정) Possible values: [NORMAL_SETTLE_ORIGINAL, NORMAL_SETTLE_AFTER_CANCEL, NORMAL_SETTLE_BEFORE_CANCEL, QUICK_SETTLE_ORIGINAL, QUICK_SETTLE_CANCEL, QUANTITY_CANCEL_DEDUCTION, QUANTITY_CANCEL_RESTORE]"
정산 금액 (number) NULLABLE 정산 금액,settleAmount,정산 내역,1,✅ 핵심 UDS,settleAmount 정산 금액 (number) NULLABLE 정산 금액
정산 기준 시작일 (string,"elements, settleBasisStartDate",정산 내역,1,✅ 핵심 UDS,elements CommerceDailySettle.pay-settle (object)[] REQUIRED Array [ settleBasisStartDate 정산 기준 시작일 (string<date>) NULLABLE 정산 기준 시작일(yyyy-MM-dd) settleBasisEndDate 정산 기준 종료일 (string<date>) NULLABLE 정산 기준 종료일(yyyy-MM-dd) settleExpectDate 정산 예정일 (string<date>) NULLABLE 정산 예정일(yyyy-MM-dd) settleCompleteDate 정산 완료일 (string<date>) NULLABLE 정산 완료일(yyyy-MM-dd) settleAmount 정산 금액 (number) NULLABLE 정산 금액 paySettleAmount 결제 정산 금액 (number) NULLABLE 결제 정산 금액(=정산 기준 금액) commissionSettleAmount 수수료 정산 금액 (numb
정산 기준 종료일 (string,settleBasisEndDate,정산 내역,1,✅ 핵심 UDS,settleBasisEndDate 정산 기준 종료일 (string<date>) NULLABLE 정산 기준 종료일(yyyy-MM-dd)
정산 기준일 (string,"elements, settleBasisDate","부가세 내역, 정산 내역",4,✅ 핵심 UDS,elements CommerceDailyVatDeclaration.pay-settle (object)[] REQUIRED Array [ settleBasisDate 정산 기준일 (string<date>) 정산 기준일(yyyy-MM-dd) totalSalesAmount 총 매출 금액 (number) REQUIRED 총 매출 금액 taxationSalesAmount 과세 매출 금액 (number) REQUIRED 과세 매출 금액 taxExemptionSalesAmount 면세 매출 금액 (number) REQUIRED 면세 매출 금액 creditCardAmount 신용카드 금액 (number) REQUIRED 신용카드 금액 cashInComeDeductionAmount 현금영수증 소득공제 금액 (number) REQUIRED 현금영수증 소득공제 금액 cashOutGoingEvidenceAmount 현금영수증 지출 증빙 금액 (number) REQUIRED 현금영수증 지출 증빙 금액 ca
정산 대상 구분 (string) NULLABLE 정산 대상,productOrderType,부가세 내역,1,✅ 핵심 UDS,"productOrderType 정산 대상 구분 (string) NULLABLE 정산 대상 구분(상품 주문, 배송비, 기타 비용) PROD_ORDER(상품 주문) DELIVERY(배송비) EXTRAFEE(기타 비용) WITHDRAW(결제 수단 출금) REFUND(구매자 환불) PL_REFUND(후불 결제 환불) DEDUCTION_RESTORE(기타 공제 환급) PROD_PAY(상품 결제) PURCHASE_REVIEW(텍스트 리뷰) PREMIUM_PURCHASE_REVIEW(포토/동영상 리뷰) REGULAR_PURCHASE_REVIEW(알림받기 동의 회원 리뷰 추가 적립) ONE_MONTH_PURCHASE_REVIEW(한 달 사용 텍스트 리뷰) ONE_MONTH_PREMIUM_PURCHASE_REVIEW(한 달 사용 포토/동영상 리뷰) REVIEW(리뷰 적립) ETC_COUPON(기타 할인) QUICK_SETTLE(빠른정산) QUANTITY_CANCEL(수량 취소) DIFFERENCE_"
정산 대상 구분 (string) REQUIRED 정산 대상,productOrderType,정산 내역,2,✅ 핵심 UDS,"productOrderType 정산 대상 구분 (string) REQUIRED 정산 대상 구분(상품 주문, 배송비, 기타 비용) PROD_ORDER(상품 주문) DELIVERY(배송비) EXTRAFEE(기타 비용) WITHDRAW(결제 수단 출금) REFUND(구매자 환불) PL_REFUND(후불 결제 환불) DEDUCTION_RESTORE(기타 공제 환급) PROD_PAY(상품 결제) PURCHASE_REVIEW(텍스트 리뷰) PREMIUM_PURCHASE_REVIEW(포토/동영상 리뷰) REGULAR_PURCHASE_REVIEW(알림받기 동의 회원 리뷰 추가 적립) ONE_MONTH_PURCHASE_REVIEW(한 달 사용 텍스트 리뷰) ONE_MONTH_PREMIUM_PURCHASE_REVIEW(한 달 사용 포토/동영상 리뷰) REVIEW(리뷰 적립) ETC_COUPON(기타 할인) QUICK_SETTLE(빠른정산) QUANTITY_CANCEL(수량 취소) DIFFERENCE_"
정산 방법 (string) NULLABLE 정산 방법(계좌,settleMethodType,정산 내역,1,✅ 핵심 UDS,"settleMethodType 정산 방법 (string) NULLABLE 정산 방법(계좌 이체, 충전금) ACCOUNT(계좌 이체) CHARGE_AMT(충전금) Possible values: [ACCOUNT, CHARGE_AMT]"
정산 상태 (string) NULLABLE 정산 상태 구분(,settleType,정산 내역,1,✅ 핵심 UDS,"settleType 정산 상태 (string) NULLABLE 정산 상태 구분(정산, 정산 전 취소, 정산 후 취소) NORMAL_SETTLE_ORIGINAL(일반정산) NORMAL_SETTLE_AFTER_CANCEL(정산 후 취소) NORMAL_SETTLE_BEFORE_CANCEL(정산 전 취소) QUICK_SETTLE_ORIGINAL(빠른정산) QUICK_SETTLE_CANCEL(빠른정산 회수) QUANTITY_CANCEL_DEDUCTION(수량 취소 정산(공제)) QUANTITY_CANCEL_RESTORE(수량 취소 정산(환급)) PURCHASE_CONFIRM(구매 확정) Possible values: [NORMAL_SETTLE_ORIGINAL, NORMAL_SETTLE_AFTER_CANCEL, NORMAL_SETTLE_BEFORE_CANCEL, QUICK_SETTLE_ORIGINAL, QUICK_SETTLE_CANCEL, QUANTITY_CANCEL_DEDUCTION, QUA"
정산 상태 (string) REQUIRED 정산 상태 구분(,settleType,정산 내역,1,✅ 핵심 UDS,"settleType 정산 상태 (string) REQUIRED 정산 상태 구분(정산, 정산 전 취소, 정산 후 취소) NORMAL_SETTLE_ORIGINAL(일반정산) NORMAL_SETTLE_AFTER_CANCEL(정산 후 취소) NORMAL_SETTLE_BEFORE_CANCEL(정산 전 취소) QUICK_SETTLE_ORIGINAL(빠른정산) QUICK_SETTLE_CANCEL(빠른정산 회수) QUANTITY_CANCEL_DEDUCTION(수량 취소 정산(공제)) QUANTITY_CANCEL_RESTORE(수량 취소 정산(환급)) PURCHASE_CONFIRM(구매 확정) Possible values: [NORMAL_SETTLE_ORIGINAL, NORMAL_SETTLE_AFTER_CANCEL, NORMAL_SETTLE_BEFORE_CANCEL, QUICK_SETTLE_ORIGINAL, QUICK_SETTLE_CANCEL, QUANTITY_CANCEL_DEDUCTION, QUA"
정산 예정 금액 (number) REQUIRED 정산 예정,settleExpectAmount,정산 내역,1,✅ 핵심 UDS,settleExpectAmount 정산 예정 금액 (number) REQUIRED 정산 예정 금액
정산 예정일 (string,settleExpectDate,정산 내역,3,✅ 핵심 UDS,settleExpectDate 정산 예정일 (string<date>) NULLABLE 정산 예정일(yyyy-MM-dd)
정산 완료일 (string,settleCompleteDate,정산 내역,3,✅ 핵심 UDS,settleCompleteDate 정산 완료일 (string<date>) NULLABLE 정산 완료일(yyyy-MM-dd)
제목,title,"고객 문의 조회, 상품 공지사항",7,✅ 핵심 UDS,title 공지사항 제목 (string) REQUIRED
제목 (string),subject,상품 문의,1,✅ 핵심 UDS,subject 제목 (string)
제조사명 (string),manufacturerName,"Other, 그룹상품, 상품 목록, 카탈로그",8,✅ 핵심 UDS,manufacturerName 제조사명 (string)
조치 사항 (string),action,상품 검수,1,✅ 핵심 UDS,action 조치 사항 (string)
조합형 옵션 (object),optionCombinations,상품,1,✅ 핵심 UDS,optionCombinations 조합형 옵션 (object)[]
조회 기준일시 타입,rangeType,주문 조회,1,✅ 핵심 UDS,rangeType rangeType.pay-order-seller (string) 조회 기준 유형. 생략 시 PAYED_DATETIME(결제 일시)으로 자동 지정됩니다. 250바이트 내외 코드 설명 비고 PAYED_DATETIME 결제일시 ORDERED_DATETIME 주문일시 DISPATCHED_DATETIME 발송처리일시 PURCHASE_DECIDED_DATETIME 구매확정일시 CLAIM_REQUESTED_DATETIME 클레임요청일시 CLAIM_COMPLETED_DATETIME 클레임완료일시 COLLECT_COMPLETED_DATETIME 수거완료일시 GIFT_RECEIVED_DATETIME 선물수락일시 HOPE_DELIVERY_INFO_CHANGED_DATETIME 배송희망일변경일시 Example: PAYED_DATETIME
조회 시작일시,from,주문 조회,1,✅ 핵심 UDS,from string<date-time> REQUIRED 조회 기준의 시작 일시(inclusive) Example: 2024-06-07T19:00:00.000+09:00
조회 제한 건수,limitCount,주문 조회,1,✅ 핵심 UDS,limitCount integer 조회 응답 개수 제한. 생략하거나 300을 초과하는 값을 입력하면 최대 300개의 내역을 제공합니다.
조회 종료일시,to,주문 조회,1,✅ 핵심 UDS,to string<date-time> 조회 기준의 종료 일시(inclusive). 생략 시 from으로부터 24시간 후로 자동 지정됩니다. Example: 2024-06-08T19:00:00.000+09:00
종료일,endDate,정산 내역,1,✅ 핵심 UDS,endDate string<date> REQUIRED 종료일 Example: 2022-02-01
주문 고객 통계 customerCount integer,purchaseStats,고객 데이터,2,✅ 핵심 UDS,purchaseStats CustomerPurchaseStats.data-insight (object) REQUIRED 주문 고객 통계 customerCount integer<int64> 전체 고객 수 newCustomerCount integer<int64> 신규 고객 수 existCustomerCount integer<int64> 기존 고객 수 newCustomerRatio number<double> 신규 고객 비율 existCustomerRatio number<double> 기존 고객 비율 purchaseCount integer<int64> 전체 주문 건수 refundCount integer<int64> 전체 환불 건수
주문 번호 (string) REQUIRED 주문 번호,orderNo,정산 내역,1,✅ 핵심 UDS,orderNo 주문 번호 (string) REQUIRED 주문 번호
주문 번호 (string) REQUIRED 주문 번호 pro,elements,정산 내역,1,✅ 핵심 UDS,"elements CommerceCommissionDetail.pay-settle (object)[] REQUIRED Array [ orderNo 주문 번호 (string) REQUIRED 주문 번호 productOrderId 상품 주문 번호 (string) REQUIRED 상품 주문 번호, 배송비 번호, 기타 비용 번호 productOrderType 정산 대상 구분 (string) REQUIRED 정산 대상 구분(상품 주문, 배송비, 기타 비용) PROD_ORDER(상품 주문) DELIVERY(배송비) EXTRAFEE(기타 비용) WITHDRAW(결제 수단 출금) REFUND(구매자 환불) PL_REFUND(후불 결제 환불) DEDUCTION_RESTORE(기타 공제 환급) PROD_PAY(상품 결제) PURCHASE_REVIEW(텍스트 리뷰) PREMIUM_PURCHASE_REVIEW(포토/동영상 리뷰) REGULAR_PURCHASE_REVIEW(알림받기 동의 회원 리뷰 추가 적립"
주문 제작 상품 발송 예정일 타입 코드 (string) ET,expectedDeliveryPeriodType,상품 일괄 수정,1,✅ 핵심 UDS,"expectedDeliveryPeriodType 주문 제작 상품 발송 예정일 타입 코드 (string) ETC는 상품 수정에만 사용 가능하며, 이미 저장된 '주문 후 예상 발송 기간' 값이 존재하거나 '직접 입력형'인 경우 설정 가능합니다. ETC(직접 입력형), TWO(선택형: 2일), THREE(선택형: 3일), FOUR(선택형: 4일), FIVE(선택형: 5일), SIX(선택형: 6일), SEVEN(선택형: 7일), EIGHT(선택형: 8일), NINE(선택형: 9일), TEN(선택형: 10일), ELEVEN(선택형: 11일), TWELVE(선택형: 12일), THIRTEEN(선택형: 13일 ), FOURTEEN(선택형: 14일) Possible values: [ETC, TWO, THREE, FOUR, FIVE, SIX, SEVEN, EIGHT, NINE, TEN, ELEVEN, TWELVE, THIRTEEN, FOURTEEN]"
주문 쿠폰,orderCouponDiscountAmount,판매 분석,1,✅ 핵심 UDS,orderCouponDiscountAmount number<double> 주문 쿠폰
주문 확인 후 제작 상품 여부 (boolean),customProductAfterOrderYn,상품 일괄 수정,1,✅ 핵심 UDS,customProductAfterOrderYn 주문 확인 후 제작 상품 여부 (boolean)
주문당 출고수량,pickingQuantityPerOrder,SKU,1,✅ 핵심 UDS,pickingQuantityPerOrder integer<int32> NULLABLE 주문당 출고수량. 주문당 SKU의 출고수량.
주문번호,orderId,"고객 문의 조회, 부가세 내역, 정산 내역, 주문 조회",7,✅ 핵심 UDS,orderId string REQUIRED 주문 번호 Example: 2021123115350911
주소,address,판매자 주소록,2,✅ 핵심 UDS,address string 전체 주소
주소록 목록 Array,addressBooks,판매자 주소록,1,✅ 핵심 UDS,"addressBooks ExternalAddressBookVO.sellers (object)[] 주소록 목록 Array [ addressBookNo integer<int64> 주소록 번호 name string 이름 addressType AddressBookType.sellers (string) 주소록 유형 REPRESENTATIVE: 사업장 BUSINESS: 추가 사업장 GENERAL: 일반 RELEASE: 출고지 REFUND_OR_EXCHANGE: 반품/교환지 LOGISTICS_CENTER_RELEASE: 물류센터 출고지 LOGISTICS_CENTER_REFUND_OR_EXCHANGE: 물류센터 반품/교환지 OVERSEAS_BANK: 해외 정산 계좌 은행 Possible values: [REPRESENTATIVE, BUSINESS, GENERAL, RELEASE, REFUND_OR_EXCHANGE, LOGISTICS_CENTER_RELEASE, LOGISTICS_CENTER_REF"
주소록 번호,addressBookNo,판매자 주소록,2,✅ 핵심 UDS,addressBookNo integer<int64> REQUIRED 주소록 번호
주소록 유형 REPRESENTATIVE,addressType,판매자 주소록,2,✅ 핵심 UDS,"addressType AddressBookType.sellers (string) 주소록 유형 REPRESENTATIVE: 사업장 BUSINESS: 추가 사업장 GENERAL: 일반 RELEASE: 출고지 REFUND_OR_EXCHANGE: 반품/교환지 LOGISTICS_CENTER_RELEASE: 물류센터 출고지 LOGISTICS_CENTER_REFUND_OR_EXCHANGE: 물류센터 반품/교환지 OVERSEAS_BANK: 해외 정산 계좌 은행 Possible values: [REPRESENTATIVE, BUSINESS, GENERAL, RELEASE, REFUND_OR_EXCHANGE, LOGISTICS_CENTER_RELEASE, LOGISTICS_CENTER_REFUND_OR_EXCHANGE, OVERSEAS_BANK]"
중요 공지 시작 일시 (string,importantNoticeStartDate,상품 공지사항,5,✅ 핵심 UDS,importantNoticeStartDate 중요 공지 시작 일시 (string<date-time>) 공지사항 등록/수정 시: 입력한 시각의 00분으로 설정됩니다. 중요 공지사항 여부를 true로 설정 후 입력이 가능 합니다. 공지사항 조회 시: KST 기준으로 출력됩니다. Example: 2023-04-18T14:25:05.140+09:00
중요 공지 종료 일시 (string,importantNoticeEndDate,상품 공지사항,5,✅ 핵심 UDS,importantNoticeEndDate 중요 공지 종료 일시 (string<date-time>) 공지사항 등록/수정 시: 입력한 시각의 59분으로 설정됩니다. 중요 공지사항 여부를 true로 설정 후 입력이 가능 합니다. 공지사항 조회 시: KST 기준으로 출력됩니다. Example: 2023-04-18T14:25:05.141+09:00
중요 공지사항 여부 (boolean) 중요 공지사항으로 등록,importantNotice,상품 공지사항,5,✅ 핵심 UDS,importantNotice 중요 공지사항 여부 (boolean) 중요 공지사항으로 등록 가능합니다. 미입력 시 false로 저장됩니다.
지급 보류 금액 (number) NULLABLE 지급 보류,payHoldbackAmount,정산 내역,1,✅ 핵심 UDS,payHoldbackAmount 지급 보류 금액 (number) NULLABLE 지급 보류 금액
지역,region,발주/발송 처리,1,✅ 핵심 UDS,region string 지역. 길이 제한 1~30
지역명 (string) REQUIRED,regionName,상품 배송 정보,1,✅ 핵심 UDS,regionName 지역명 (string) REQUIRED
지역별 추가 배송비 (object),deliveryFeeByArea,상품 배송 정보,4,✅ 핵심 UDS,deliveryFeeByArea 지역별 추가 배송비 (object)
지역별 추가 배송비 (object) 지역별 추가 배송비 de,deliveryFeeByArea,상품 배송 정보,1,✅ 핵심 UDS,"deliveryFeeByArea 지역별 추가 배송비 (object) 지역별 추가 배송비 deliveryAreaType 지역별 추가 배송비 권역 코드 (string) REQUIRED 묶음배송 그룹 등록 시 지역별 추가 배송비 권역을 입력하기 위한 코드입니다. 묶음배송 가능 여부가 true인 경우 묶음배송 그룹에 설정된 값이 적용됩니다(배송 속성이 ARRIVAL_GUARANTEE인 경우 제외). AREA_2(내륙/제주 및 도서산간 지역으로 구분(2권역)), AREA_3(내륙/제주/제주 외 도서산간 지역으로 구분(3권역)) Possible values: [AREA_2, AREA_3] area2extraFee 2권역 추가 배송비 (integer<int32>) 2권역인 경우 '제주 및 도서산간' 지역 추가 배송비. 3권역인 경우 '제주' 지역 추가 배송비. 묶음배송 가능 여부가 true인 경우 묶음배송 그룹에 설정된 값이 적용됩니다(배송 속성이 ARRIVAL_GUARANTEE인 경우 제외)."
지역별 추가 배송비 권역 코드 (string) REQUIRE,deliveryAreaType,상품 배송 정보,1,✅ 핵심 UDS,"deliveryAreaType 지역별 추가 배송비 권역 코드 (string) REQUIRED 묶음배송 그룹 등록 시 지역별 추가 배송비 권역을 입력하기 위한 코드입니다. 묶음배송 가능 여부가 true인 경우 묶음배송 그룹에 설정된 값이 적용됩니다(배송 속성이 ARRIVAL_GUARANTEE인 경우 제외). AREA_2(내륙/제주 및 도서산간 지역으로 구분(2권역)), AREA_3(내륙/제주/제주 외 도서산간 지역으로 구분(3권역)) Possible values: [AREA_2, AREA_3]"
집계 기간,periodType,고객 데이터,3,✅ 핵심 UDS,"periodType string REQUIRED 집계 기간. weekly, daily."
집계일,aggregateDate,고객 데이터,3,✅ 핵심 UDS,aggregateDate string REQUIRED 집계일. yyyy-MM-dd 형식.
차액 정산 금액 (number) NULLABLE 차액 정산,differenceSettleAmount,정산 내역,1,✅ 핵심 UDS,differenceSettleAmount 차액 정산 금액 (number) NULLABLE 차액 정산 금액
창고 ID,outboundLocationId,판매자 물류,1,✅ 핵심 UDS,outboundLocationId string 창고 ID
창고명,outboundLocationName,판매자 물류,1,✅ 핵심 UDS,outboundLocationName string 창고명
창고에 대해 주문 마감 시각,mappings,판매자 물류,1,✅ 핵심 UDS,"mappings SellerDeliveryOutboundLocationMappingDto.nfa (object)[] 창고에 대해 주문 마감 시각, CAPA, 휴무 정보가 설정된 택배사, 배송 속성 목록. (판매자센터 매핑 DB) 창고 ID를 포함하는 판매자센터 매핑 ID 목록을 응답합니다. Array [ allianceId string 택배사 ID allianceName string 택배사명 deliveryType string 배송 속성 Possible values: [SELLER_GUARANTEE, HOPE_SELLER_GUARANTEE] ]"
채널 번호,channelNo,판매자,1,✅ 핵심 UDS,channelNo integer<int64> 채널 번호
채널 상품 목록 (object),channelProducts,상품 목록,1,✅ 핵심 UDS,"channelProducts 채널 상품 목록 (object)[] Array [ groupProductNo 그룹상품번호 (integer<int64>) originProductNo 원상품번호 (integer<int64>) channelProductNo 채널 상품번호 (integer<int64>) channelServiceType 채널 서비스 타입 (string) Possible values: [STOREFARM, WINDOW, AFFILIATE] injectProductNo 수급 상품번호 (integer<int64>) categoryId 카테고리 ID (string) name 상품명 (string) sellerManagementCode 판매자 관리 코드 (string) statusType 상품 판매 상태 코드 (string) WAIT(판매 대기), SALE(판매 중), OUTOFSTOCK(품절), UNADMISSION(승인 대기), REJECTION(승인 거부), SUSPENSION(판"
채널 상품 전시 상태 (string) Possible val,channelProductDisplayStatusType,상품 목록,1,✅ 핵심 UDS,"channelProductDisplayStatusType 채널 상품 전시 상태 (string) Possible values: [WAIT, ON, SUSPENSION]"
